name,slug,url
Airtel,airtel,https://airtel.darwinbox.in/ms/candidate/careers
BigBasket,bigbasket,https://bigbasket.darwinbox.in/ms/candidate/careers
Cars24,cars24,https://cars24.darwinbox.in/ms/candidate/careers
Delhivery,delhivery,https://delhivery.darwinbox.in/ms/candidate/careers
Evalueserve (Lighthouse),lighthouse.com,https://lighthouse.darwinbox.com/ms/candidate/careers
Mygate,mygate,https://mygate.darwinbox.in/ms/candidate/careers
PwC Asia,pwc.com,https://pwc.darwinbox.com/ms/candidate/careers
Security Bank Cards (SBC Hero),sbchero.com,https://sbchero.darwinbox.com/ms/candidate/careers
1mg (Tata 1mg),1mg,https://1mg.darwinbox.in/ms/candidate/careers
2GO Group,meego.com,https://meego.darwinbox.com/ms/candidate/careers
2X,2xpeople.com,https://2xpeople.darwinbox.com/ms/candidate/careers
Aarti Industries,aartiindustries,https://aartiindustries.darwinbox.in/ms/candidate/careers
ABP Network,abpnetwork,https://abpnetwork.darwinbox.in/ms/candidate/careers
ADA,adaglobal.com,https://adaglobal.darwinbox.com/ms/candidate/careers
Addof,addof.com,https://addof.darwinbox.com/ms/candidate/careers
Affle,affle,https://affle.darwinbox.in/ms/candidate/careers
AgroStar,agrostar,https://agrostar.darwinbox.in/ms/candidate/careers
AIS,ais,https://ais.darwinbox.in/ms/candidate/careers
Akraya Group,akrayagroup.com,https://akrayagroup.darwinbox.com/ms/candidate/careers
Al Fardan Group,alfardan.com,https://alfardan.darwinbox.com/ms/candidate/careers
Allcargo,allcargo,https://allcargo.darwinbox.in/ms/candidate/careers
Arabian Construction Company,accpeoplehr.com,https://accpeoplehr.darwinbox.com/ms/candidate/careers
Aragen Life Sciences,aragen,https://aragen.darwinbox.in/ms/candidate/careers
Arvind,arvind,https://arvind.darwinbox.in/ms/candidate/careers
Ather Energy,atherenergy,https://atherenergy.darwinbox.in/ms/candidate/careers
AU Small Finance Bank,autalenthub,https://autalenthub.darwinbox.in/ms/candidate/careers
Avaada Group,myavaada,https://myavaada.darwinbox.in/ms/candidate/careers
AXIS Clinicals Limited,axisclinicals,https://axisclinicals.darwinbox.in/ms/candidate/careers
Baazi Games,baazigames,https://baazigames.darwinbox.in/ms/candidate/careers
Bajaj Electricals,bel.com,https://bel.darwinbox.com/ms/candidate/careers
Bajaj Finserv Direct,hrisbdirect,https://hrisbdirect.darwinbox.in/ms/candidate/careers
Bank BTPN,btpn.com,https://btpn.darwinbox.com/ms/candidate/careers
Bank of the Philippine Islands (BPI),rhea.com,https://rhea.darwinbox.com/ms/candidate/careers
Bharti Airtel Foundation,bhartifoundation,https://bhartifoundation.darwinbox.in/ms/candidate/careers
Blibli,blibli.com,https://blibli.darwinbox.com/ms/candidate/careers
Botree Software (HRMS Botree),hrmsbotree,https://hrmsbotree.darwinbox.in/ms/candidate/careers
Brigade Group,brigadegroup,https://brigadegroup.darwinbox.in/ms/candidate/careers
BSA,bsa.com,https://bsa.darwinbox.com/ms/candidate/careers
Bukuwarung,bukuwarung.com,https://bukuwarung.darwinbox.com/ms/candidate/careers
Busy Bees Asia,busybeesasia.com,https://busybeesasia.darwinbox.com/ms/candidate/careers
Casagrand,casagrand,https://casagrand.darwinbox.in/ms/candidate/careers
CBC Group,cbcsynchrone.com,https://cbcsynchrone.darwinbox.com/ms/candidate/careers
Coding Ninjas,codingninjas,https://codingninjas.darwinbox.in/ms/candidate/careers
CR3 Group,cr3-care.com,https://cr3-care.darwinbox.com/ms/candidate/careers
Cure.fit (Curefit Healthcare),curefit,https://curefit.darwinbox.in/ms/candidate/careers
Darwinbox (dbx),dbx,https://dbx.darwinbox.in/ms/candidate/careers
Darwinbox Digital Solutions (dbox),dbox,https://dbox.darwinbox.in/ms/candidate/careers
Deepak Group,deepak,https://deepak.darwinbox.in/ms/candidate/careers
DMI Unify (DMI Finance),dmiunify,https://dmiunify.darwinbox.in/ms/candidate/careers
DOKU,doku.com,https://doku.darwinbox.com/ms/candidate/careers
Duroflex Group,duroflex,https://duroflex.darwinbox.in/ms/candidate/careers
Edelweiss Life Insurance,edelweisslife,https://edelweisslife.darwinbox.in/ms/candidate/careers
Emeritus,emeritus,https://emeritus.darwinbox.in/ms/candidate/careers
Enzene,enzenespherenet,https://enzenespherenet.darwinbox.in/ms/candidate/careers
Excelra,excelra,https://excelra.darwinbox.in/ms/candidate/careers
Expo City Dubai Authority,ecdhrconnect.com,https://ecdhrconnect.darwinbox.com/ms/candidate/careers
Galaxy Surfactants,mygalaxy,https://mygalaxy.darwinbox.in/ms/candidate/careers
GEP Worldwide (NB Ventures INC),geppeoplecentral.com,https://geppeoplecentral.darwinbox.com/ms/candidate/careers
GirnarSoft Education Services Pvt. Ltd.,collegedekhohrms,https://collegedekhohrms.darwinbox.in/ms/candidate/careers
Glenmark,glenmark,https://glenmark.darwinbox.in/ms/candidate/careers
Glenmark | Spring,glenmarkspring.com,https://glenmarkspring.darwinbox.com/ms/candidate/careers
Great Learning,greatlearning,https://greatlearning.darwinbox.in/ms/candidate/careers
GYS,gys.com,https://gys.darwinbox.com/ms/candidate/careers
HCA Healthcare India,hcahr,https://hcahr.darwinbox.in/ms/candidate/careers
Hetero,hetero,https://hetero.darwinbox.in/ms/candidate/careers
HL Mando India,hrmsmandoindia,https://hrmsmandoindia.darwinbox.in/ms/candidate/careers
HMS Vanguard Sdn Bhd,healthmetrics.com,https://healthmetrics.darwinbox.com/ms/candidate/careers
HOH / HFS,hoh,https://hoh.darwinbox.in/ms/candidate/careers
