name,slug,url
Trip.com Group,trip/70415,https://app.mokahr.com/social-recruitment/trip/70415
BIGO,bigo/37723,https://app.mokahr.com/social-recruitment/bigo/37723
SHEIN,shein/2933,https://app.mokahr.com/social-recruitment/shein/2933
Zhihu,zhihu/78336,https://app.mokahr.com/social-recruitment/zhihu/78336
Geely Holding Group,geely/96123,https://app.mokahr.com/social-recruitment/geely/96123
Huya,huya/4111,https://app.mokahr.com/social-recruitment/huya/4111
CloudWalk,cloudwalk/4871,https://app.mokahr.com/social-recruitment/cloudwalk/4871
Tongdun Technology,tongdun/29005,https://app.mokahr.com/social-recruitment/tongdun/29005
Audi China,audi/147989,https://app.mokahr.com/social-recruitment/audi/147989
Manbang Group,manbang/46269,https://app.mokahr.com/social-recruitment/manbang/46269
XPeng (Huitian),xiaopeng/67918,https://app.mokahr.com/social-recruitment/xiaopeng/67918
Ninebot,ninebot/45626,https://app.mokahr.com/social-recruitment/ninebot/45626
Marriott International,marriott/141002,https://app.mokahr.com/social-recruitment/marriott/141002
Shopee,shopee/2963,https://app.mokahr.com/social-recruitment/shopee/2963
4Paradigm,4paradigm/102013,https://app.mokahr.com/social-recruitment/4paradigm/102013
ZTE,zte/47588,https://app.mokahr.com/social-recruitment/zte/47588
Baicizhan,baicizhan/121,https://app.mokahr.com/social-recruitment/baicizhan/121
VIPKid,vipkid/147402,https://app.mokahr.com/social-recruitment/vipkid/147402
East Money,eastmoney/57970,https://app.mokahr.com/social-recruitment/eastmoney/57970
Panasonic Group,panasonic/5215,https://app.mokahr.com/social-recruitment/panasonic/5215
Ford China,ford/38867,https://app.mokahr.com/social-recruitment/ford/38867
GM China,gm/123968,https://app.mokahr.com/social-recruitment/gm/123968
Rakuten R&D China,rakuten/47725,https://app.mokahr.com/social-recruitment/rakuten/47725
ZhongAn Insurance,zhongan/102015,https://app.mokahr.com/social-recruitment/zhongan/102015
DeepRoute.ai,deeproute/143885,https://app.mokahr.com/social-recruitment/deeproute/143885
Klook,hire-r1/klookcareers/100008011,https://hire-r1.mokahr.com/social-recruitment/klookcareers/100008011
OSL,hire-r1/osl/100008006,https://hire-r1.mokahr.com/social-recruitment/osl/100008006
Tesla APAC,hire-r1/tesla/100004142,https://hire-r1.mokahr.com/social-recruitment/tesla/100004142
Traveloka,hire-r1/traveloka/100008526,https://hire-r1.mokahr.com/social-recruitment/traveloka/100008526
51Talk,51talk/25906,https://app.mokahr.com/social-recruitment/51talk/25906
58 Group,58/150952,https://app.mokahr.com/social-recruitment/58/150952
Adidas,adidas/140456,https://app.mokahr.com/social-recruitment/adidas/140456
Agora,agora/6334,https://app.mokahr.com/social-recruitment/agora/6334
AMEC,amec/28371,https://app.mokahr.com/social-recruitment/amec/28371
Ant Group,antgroup/47145,https://app.mokahr.com/social-recruitment/antgroup/47145
Appotronics,ylxinc/140729,https://app.mokahr.com/social-recruitment/ylxinc/140729
AutoX,autox/6312,https://app.mokahr.com/social-recruitment/autox/6312
BAAI,baai/42173,https://app.mokahr.com/social-recruitment/baai/42173
Bairong Inc,100credit/92460,https://app.mokahr.com/social-recruitment/100credit/92460
BATF Group Campus,batf/144997/campus,https://app.mokahr.com/campus-recruitment/batf/144997
Bayer,bayer/148387,https://app.mokahr.com/social-recruitment/bayer/148387
BeiGene,beigene/98934,https://app.mokahr.com/social-recruitment/beigene/98934
Beijing Bole Technology,bolegames/37642,https://app.mokahr.com/social-recruitment/bolegames/37642
Beijing Institute for General AI,bigai-ai/102639,https://app.mokahr.com/social-recruitment/bigai-ai/102639
Biren Technology,biren/44726,https://app.mokahr.com/social-recruitment/biren/44726
Bitget,hire-r1/bitget/100000079,https://hire-r1.mokahr.com/social-recruitment/bitget/100000079
BYD,byd/40205,https://app.mokahr.com/social-recruitment/byd/40205
Cambricon,cambricon/1113,https://app.mokahr.com/social-recruitment/cambricon/1113
Cambricon Campus,cambricon/44201/campus,https://app.mokahr.com/campus-recruitment/cambricon/44201
Carlsberg China,carlsberg/6730,https://app.mokahr.com/social-recruitment/carlsberg/6730
CCTV,cctv/19935,https://app.mokahr.com/social-recruitment/cctv/19935
Chaitin Tech,chaitin/118126,https://app.mokahr.com/social-recruitment/chaitin/118126
Changyou Campus,cyou-inc/42233/campus,https://app.mokahr.com/campus-recruitment/cyou-inc/42233
China Datang,datang/29343,https://app.mokahr.com/social-recruitment/datang/29343
China Telecom,chinatelecom/71984,https://app.mokahr.com/social-recruitment/chinatelecom/71984
China Vanke,vanke/36266,https://app.mokahr.com/social-recruitment/vanke/36266
CloudWalk Campus,cloudwalk/4872/campus,https://app.mokahr.com/campus-recruitment/cloudwalk/4872
Columbia Sportswear,columbia/57872,https://app.mokahr.com/social-recruitment/columbia/57872
Comau,comau/98393,https://app.mokahr.com/social-recruitment/comau/98393
Costa Coffee,costa/92534,https://app.mokahr.com/social-recruitment/costa/92534
Dahua Technology,dahua/55997,https://app.mokahr.com/social-recruitment/dahua/55997
DeepSeek,high-flyer/140576,https://app.mokahr.com/social-recruitment/high-flyer/140576
Dianhun Campus,dianhun/55953/campus,https://app.mokahr.com/campus-recruitment/dianhun/55953
DiDi Global,didiglobal/6222,https://app.mokahr.com/social-recruitment/didiglobal/6222
DolphinDB,dolphindb/37785,https://app.mokahr.com/social-recruitment/dolphindb/37785
Douyu,douyu/7622,https://app.mokahr.com/social-recruitment/douyu/7622
DXY (Dingxiang Yuan),dxy/1489,https://app.mokahr.com/social-recruitment/dxy/1489
EY (Ernst & Young),ey/47410,https://app.mokahr.com/social-recruitment/ey/47410
Fapon Biotech,fapon/368,https://app.mokahr.com/social-recruitment/fapon/368
Fenbi,fenbi/45505,https://app.mokahr.com/social-recruitment/fenbi/45505
Fiberhome Telecommunication,whfhtx/73921,https://app.mokahr.com/social-recruitment/whfhtx/73921
First Fun,hire-r1/firstfun/100000617,https://hire-r1.mokahr.com/social-recruitment/firstfun/100000617
Fourier Intelligence Campus,fftai/147078/campus,https://app.mokahr.com/campus-recruitment/fftai/147078
Foxconn,foxconn/101965,https://app.mokahr.com/social-recruitment/foxconn/101965
Fujian Boss Software,bosssoft/68369,https://app.mokahr.com/social-recruitment/bosssoft/68369
Gaoji Health,gaojihealth/94889,https://app.mokahr.com/social-recruitment/gaojihealth/94889
Gaotu Techedu,bjhl/92093,https://app.mokahr.com/social-recruitment/bjhl/92093
Gap China,gap/142160,https://app.mokahr.com/social-recruitment/gap/142160
GE HealthCare,gehc/142249,https://app.mokahr.com/social-recruitment/gehc/142249
GenScript,genscript/4000,https://app.mokahr.com/social-recruitment/genscript/4000
Giant Network Campus,ztgame/92438/campus,https://app.mokahr.com/campus-recruitment/ztgame/92438
GigaDevice,gigadevice/100227,https://app.mokahr.com/social-recruitment/gigadevice/100227
Glodon,glodon/1751,https://app.mokahr.com/social-recruitment/glodon/1751
GSK,gsk/148067,https://app.mokahr.com/social-recruitment/gsk/148067
Guming,guming/39376,https://app.mokahr.com/social-recruitment/guming/39376
Han's CNC,hanscnc/118576,https://app.mokahr.com/social-recruitment/hanscnc/118576
Han's Laser,hanslaser/46382,https://app.mokahr.com/social-recruitment/hanslaser/46382
Hangyin Consumer Finance,hyxj/102160,https://app.mokahr.com/social-recruitment/hyxj/102160
Hansoh Pharmaceutical,hansoh/44933,https://app.mokahr.com/social-recruitment/hansoh/44933
Harbour BioMed,harbourbiomed/43014,https://app.mokahr.com/social-recruitment/harbourbiomed/43014
Hefeng Foods,hfsp/37148,https://app.mokahr.com/social-recruitment/hfsp/37148
Hengrui Pharmaceuticals,hengrui/145996,https://app.mokahr.com/social-recruitment/hengrui/145996
HEYTEA,hire-r1/heytea/100000206,https://hire-r1.mokahr.com/social-recruitment/heytea/100000206
High-Flyer Quant,high-flyer/4604,https://app.mokahr.com/social-recruitment/high-flyer/4604
Hikvision,hikvision/58021,https://app.mokahr.com/social-recruitment/hikvision/58021
Huaqin Technology,huaqin/41745,https://app.mokahr.com/social-recruitment/huaqin/41745
Huaqin Technology Campus,hq/44757/campus,https://app.mokahr.com/campus-recruitment/hq/44757
HUTCHMED,hutchmed/140975,https://app.mokahr.com/social-recruitment/hutchmed/140975
Huxiu,huxiu/40603,https://app.mokahr.com/social-recruitment/huxiu/40603
Hytech,hire-r1/hytech/100008074,https://hire-r1.mokahr.com/social-recruitment/hytech/100008074
Hytera,hytera/27049,https://app.mokahr.com/social-recruitment/hytera/27049
Iluvatar CoreX,iluvatar/98705,https://app.mokahr.com/social-recruitment/iluvatar/98705
Inoherb,inoherb/37122,https://app.mokahr.com/social-recruitment/inoherb/37122
Inspire Games,inspiregames/144680,https://app.mokahr.com/social-recruitment/inspiregames/144680
Insta360,insta360/41057,https://app.mokahr.com/social-recruitment/insta360/41057
JD.com,jd/57929,https://app.mokahr.com/social-recruitment/jd/57929
JD.com (alt),jingdong/24779,https://app.mokahr.com/social-recruitment/jingdong/24779
JHL Fund,jhlfund/46283,https://app.mokahr.com/social-recruitment/jhlfund/46283
Jiahui Medical,jiahui/2126,https://app.mokahr.com/social-recruitment/jiahui/2126
Joyson,joyson/94310,https://app.mokahr.com/social-recruitment/joyson/94310
KCareers,hire-r1/kcareers/100000192,https://hire-r1.mokahr.com/social-recruitment/kcareers/100000192
KEENON Robotics,keenon/24672,https://app.mokahr.com/social-recruitment/keenon/24672
Kering,kering/144484,https://app.mokahr.com/social-recruitment/kering/144484
Kingnet,kingnet/2247,https://app.mokahr.com/social-recruitment/kingnet/2247
Kingsoft Office Campus,wps/41436/campus,https://app.mokahr.com/campus-recruitment/wps/41436
KORRUN Group,korrun/147968,https://app.mokahr.com/social-recruitment/korrun/147968
KPMG,kpmg/74216,https://app.mokahr.com/social-recruitment/kpmg/74216
Li-Ning,lining/166080,https://app.mokahr.com/social-recruitment/lining/166080
Mammotion Technology,hire-r1/inter-mammotion/100008071,https://hire-r1.mokahr.com/social-recruitment/inter-mammotion/100008071
Master Kong (Tingyi),masterkong/25435,https://app.mokahr.com/social-recruitment/masterkong/25435
Medbanks,medbanks/150528,https://app.mokahr.com/social-recruitment/medbanks/150528
MEGVII Campus,megviihr/38642/campus,https://app.mokahr.com/campus-recruitment/megviihr/38642
MGCC,mgcc/37697,https://app.mokahr.com/social-recruitment/mgcc/37697
Michael Kors China,mk/148379,https://app.mokahr.com/social-recruitment/mk/148379
Mindray,mindray/44475,https://app.mokahr.com/social-recruitment/mindray/44475
MINIEYE,minieye/118570,https://app.mokahr.com/social-recruitment/minieye/118570
MiraclePlus,miracleplus/55973,https://app.mokahr.com/social-recruitment/miracleplus/55973
Moka HR,moka/118263,https://app.mokahr.com/social-recruitment/moka/118263
Moonshot AI,moonshot/148506,https://app.mokahr.com/social-recruitment/moonshot/148506
Muyuan Foods,muyuan/70115,https://app.mokahr.com/social-recruitment/muyuan/70115
Mycos Data,mycos/91983,https://app.mokahr.com/social-recruitment/mycos/91983
NSFOCUS,nsfocus/29117,https://app.mokahr.com/social-recruitment/nsfocus/29117
OOCL,oocl/44732,https://app.mokahr.com/social-recruitment/oocl/44732
Oray,oray/42974,https://app.mokahr.com/social-recruitment/oray/42974
Parkway Health,parkway/142499,https://app.mokahr.com/social-recruitment/parkway/142499
Phoenix New Media,ifeng/7541,https://app.mokahr.com/social-recruitment/ifeng/7541
Polestar,polestar/76244,https://app.mokahr.com/social-recruitment/polestar/76244
Procter & Gamble China,pg/91934,https://app.mokahr.com/social-recruitment/pg/91934
PwC China,pwc/140014,https://app.mokahr.com/social-recruitment/pwc/140014
Quwan Technology,52tt/45125,https://app.mokahr.com/social-recruitment/52tt/45125
Relin Pharma,relin/146755,https://app.mokahr.com/social-recruitment/relin/146755
Sangfor,sangfor/5367,https://app.mokahr.com/social-recruitment/sangfor/5367
SANY Group,sany/7588,https://app.mokahr.com/social-recruitment/sany/7588
Sanyuan Foods,sanyuan/73995,https://app.mokahr.com/social-recruitment/sanyuan/73995
SEER Robotics,seer/41526,https://app.mokahr.com/social-recruitment/seer/41526
Servyou Software,servyou/42864,https://app.mokahr.com/social-recruitment/servyou/42864
Shanghai Integrated Circuit R&D Center Campus,icrd/126587/campus,https://app.mokahr.com/campus-recruitment/icrd/126587
SHEIN Campus,shein/2932/campus,https://app.mokahr.com/campus-recruitment/shein/2932
Shiyue Network,shiyuehr/72054,https://app.mokahr.com/social-recruitment/shiyuehr/72054
Shokz,aftershokzhr/40779,https://app.mokahr.com/social-recruitment/aftershokzhr/40779
Shokz Campus,aftershokzhr/36940/campus,https://app.mokahr.com/campus-recruitment/aftershokzhr/36940
Shuqu Huyu,shuquhuyu/146521,https://app.mokahr.com/social-recruitment/shuquhuyu/146521
Sigma,sigma/24905,https://app.mokahr.com/social-recruitment/sigma/24905
Sina,sina/43535,https://app.mokahr.com/social-recruitment/sina/43535
Sina Campus,sina/43536/campus,https://app.mokahr.com/campus-recruitment/sina/43536
Sinopharm,sinopharm/56224,https://app.mokahr.com/social-recruitment/sinopharm/56224
Sinovac,sinovac/4915,https://app.mokahr.com/social-recruitment/sinovac/4915
SmartMore,smartmore/40505,https://app.mokahr.com/social-recruitment/smartmore/40505
Smoore International,smoore/126055,https://app.mokahr.com/social-recruitment/smoore/126055
Sohu,sohu/43256,https://app.mokahr.com/social-recruitment/sohu/43256
SolaX Power,solaxpower/151400,https://app.mokahr.com/social-recruitment/solaxpower/151400
SpacemiT,space-t1/67915,https://app.mokahr.com/social-recruitment/space-t1/67915
State Power Investment Corporation,spic/45565,https://app.mokahr.com/social-recruitment/spic/45565
StepFun (Jieyue Xingchen),step/94904,https://app.mokahr.com/social-recruitment/step/94904
StepFun Campus,step/141903/campus,https://app.mokahr.com/campus-recruitment/step/141903
STO Express,sto/42337,https://app.mokahr.com/social-recruitment/sto/42337
SUNDA International,hire-r1/sunda/100000130,https://hire-r1.mokahr.com/social-recruitment/sunda/100000130
Sungrow Campus,sungrow/94416/campus,https://app.mokahr.com/campus-recruitment/sungrow/94416
Tengden,tengden/45126,https://app.mokahr.com/social-recruitment/tengden/45126
Tesla China,tesla/46129,https://app.mokahr.com/social-recruitment/tesla/46129
Tesla China Campus,tesla/41460/campus,https://app.mokahr.com/campus-recruitment/tesla/41460
Tesla Japan,hire-r1/tesla/100004135,https://hire-r1.mokahr.com/social-recruitment/tesla/100004135
Texas Instruments,ti/143985,https://app.mokahr.com/social-recruitment/ti/143985
Tianma Microelectronics,tianma/143383,https://app.mokahr.com/social-recruitment/tianma/143383
Tianyan Capital,tianyancapital/98901,https://app.mokahr.com/social-recruitment/tianyancapital/98901
Tigermed,hire-r1/tigermed/100004122,https://hire-r1.mokahr.com/social-recruitment/tigermed/100004122
Topsec,topsec/24131,https://app.mokahr.com/social-recruitment/topsec/24131
TotalEnergies,totalenergies/100441,https://app.mokahr.com/social-recruitment/totalenergies/100441
Tsinghua Unigroup Tongxin,tsinghuaic/39655,https://app.mokahr.com/social-recruitment/tsinghuaic/39655
UNISOC,unisoc/42760,https://app.mokahr.com/social-recruitment/unisoc/42760
VOYAH,voyah/146292,https://app.mokahr.com/social-recruitment/voyah/146292
Wens Foodstuff,wens/92365,https://app.mokahr.com/social-recruitment/wens/92365
Westone,westone/26995,https://app.mokahr.com/social-recruitment/westone/26995
WuXi Biologics,wuxibiologics/99960,https://app.mokahr.com/social-recruitment/wuxibiologics/99960
XCMG,xcmg/148090,https://app.mokahr.com/social-recruitment/xcmg/148090
Xiaochuan Keji,xiaochuankeji/116068,https://app.mokahr.com/social-recruitment/xiaochuankeji/116068
Xtep,xtep/148870,https://app.mokahr.com/social-recruitment/xtep/148870
Xueqiu (Snowball),xueqiu/3591,https://app.mokahr.com/social-recruitment/xueqiu/3591
Xunlei,xunlei/26599,https://app.mokahr.com/social-recruitment/xunlei/26599
YITU Technology,yitu-inc/3701,https://app.mokahr.com/social-recruitment/yitu-inc/3701
Yoka Games,yokagames/41939,https://app.mokahr.com/social-recruitment/yokagames/41939
Yoozoo Games,yoozoo/91950,https://app.mokahr.com/social-recruitment/yoozoo/91950
