name,slug,url
ACI Worldwide Job Opportunities,ebwg,https://ebwg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX
Adara Real Estate Company,fa-etzd-saasfaprod1,https://fa-etzd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001
AirBorneo,airborneo-iacatj,https://airborneo-iacatj.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001
Allegheny College,alleghenycollege-ibwwjb,https://alleghenycollege-ibwwjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
APP Recruitment,eify/cx_1001,https://eify.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001
Aspetar Candidate Experience site,eipb/cx_5,https://eipb.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_5
AustralianSuper,ejjl,https://ejjl.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ABM US,eiqg,https://eiqg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ADES Global,epgv,https://epgv.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ADIB Candidate Experience site,hciq,https://hciq.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ADNIC Career Portal,eoro,https://eoro.fa.em8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AEO,hcml,https://hcml.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AFW,ejqy,https://ejqy.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AICC External Site,iaarkf,https://iaarkf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AL Gihaz Holding,efva,https://efva.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
APP Recruitment,eify,https://eify.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
AWR Career Site,iacpey,https://iacpey.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Abdulla-Fouad Career Site Minimal,hdgp,https://hdgp.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Abt Global,egpy,https://egpy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Abu Dhabi Airports,hcts,https://hcts.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Adani Career Site,eibd,https://eibd.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Adventist Health,ecvz,https://ecvz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Al Ghurair,iaaxey,https://iaaxey.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Al Moosa Career Portal,edns,https://edns.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Al-Othman Holding Company,eknh,https://eknh.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Albertsons Companies,eofd,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Allegheny Intermediate Unit Career Site,einj,https://einj.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
American Bureau of Shipping Career Site,hbbq,https://hbbq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
American Tower Global,hdsn,https://hdsn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Anywhere,ibmqjb,https://ibmqjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Apollo Hospitals,cgs,https://cgs.fa.ap2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Apparel Career Site,ediu,https://ediu.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Arcadis,ebcs,https://ebcs.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
ArcelorMittal,emfg,https://emfg.fa.em4.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Arconic,hdnn,https://hdnn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Arcor Global,emqm,https://emqm.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Aspire Zone Candidate Experience site,eipb,https://eipb.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
Aster DM Healthcare,hcdt,https://hcdt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
At Home,hdiy,https://hdiy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1
B-Entity Career Site,ejgk/cx_1001,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001
Banco Nacional de Costa Rica,ehuk,https://ehuk.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001
BAS  Kariyer,elvh,https://elvh.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001
BSC,ecge/cx_1003,https://ecge.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003
